,User-ID,Book-Rating
0,1393336-jennifer-formerly-eccentric-muse,1.0
1,551316-sithara,2.0
2,277180-christopher,2.0
3,83582-bill-kerwin,1.0
4,80444-sarah,2.0
5,1439240-jordi,5.0
6,24126-marte,1.0
7,53165-warwick,1.0
8,22106879-jayson,4.0
9,1219253-amanda,1.0
10,1642452-kenny,5.0
11,614778-ahmad-sharabiani,5.0
12,5253785-lyn,3.0
13,6237864-nandakishore-mridula,1.0
14,1214974-amit,5.0
15,53701594-nilufer-ozmekik,5.0
16,5407952-jibran,1.0
17,692475-patrick,2.0
18,32532774-lisa,1.0
19,10171516-jessica,3.0
20,1199525-cecily,1.0
21,6431467-s-penkevich,2.0
22,63274287-kon-r,4.0
23,32541-kali,1.0
24,87493-don,1.0
25,16254355-matthew,4.0
26,16958299-dr-appu-sasidharan,5.0
27,21575078-florencia,1.0
28,1591538-joyzi,5.0
29,138801181-ali-goodwin,3.0
30,6753400-gabrielle,1.0
31,101693182-tharindu-dissanayake,5.0
32,4643325-paul,2.0
33,31739-andrew,1.0
34,60866073-baba,3.0
35,78009594-zain,4.0
36,114780411-tanu,3.0
37,10179929-sanjay-gautam,2.0
38,2018505-thomas,2.0
39,5431458-henry-avila,3.0
40,3040523-zaki,1.0
41,42191546-kalyn-nicholson,5.0
42,23381142-nat,4.0
43,531153-jonathan,1.0
44,128191325-bhavya,1.0
45,14457130-whitney-atkinson,4.0
46,17957823-erin,2.0
47,1036893-fabian,3.0
48,117399210-lu-s,2.0
49,1651956-riku-sayuj,4.0
50,5124500-mercedes,1.0
51,86266847-ammit-p-chawda,5.0
52,22599584-dorreh,4.0
53,29049556-tanya,4.0
54,124489366-booklander-esmani,5.0
55,23106940-mia,1.0
56,50893023-johann-jobis89,2.0
57,125496676-saad,5.0
58,11284813-christy,2.0
59,59187939-moha-dem,3.0
60,76346-eleanor,1.0
61,54464244-hamad,2.0
62,4811203-emily-b,3.0
63,429251-nefik,5.0
64,36348070-brandice,5.0
65,67918882-zainab,4.0
66,2457095-apatt,2.0
67,5759543-sam-quixote,1.0
68,79606570-ethan,1.0
69,4341680-ij,5.0
70,102159719-reading-tamishly,4.0
71,10501026-c-never-pm-comment-or-e-mail-if-private,5.0
72,27523984-pinky,5.0
73,76507338-saadia-b,2.0
74,58398280-laure,1.0
75,4213258-bradley,5.0
76,119324998-anbukarasan,5.0
77,2172096-barbara,3.0
78,4426615-jason,2.0
79,44158677-michelle-f,1.0
80,2752994-dem,1.0
81,32325414-ameera,0.0
82,33737465-jonathan-ashleigh,2.0
83,10762033-maureen,4.0
84,17208123-marta,1.0
85,56939723-samra-yusuf,2.0
86,34178791-natalie-vellacott,1.0
87,113225804-aly,5.0
88,42636932-joe-krakovsky,3.0
89,84099251-emma-angeline,1.0
90,124771426-chaplain-walle,4.0
91,4721171-michelle-taking-a-needed-break,3.0
92,6688207-natalie-monroe,2.0
93,34369915-nickreads,0.0
94,16197752-huda-aweys,2.0
95,8734459-tadiana-night-owl,0.0
96,42775737-laura,2.0
97,2473504-jennifer,4.0
98,128623868-ola-madhour,2.0
99,54103953-archit,5.0
100,40516522-p,1.0
101,40737518-r-k-gold,5.0
102,73449257-renee-amberg,5.0
103,49365462-w,0.0
104,140626992-henri-purnell,5.0
105,15355957-rohit-enghakat,1.0
106,16737952-jelena,1.0
107,5654692-tim-the-enchanter,1.0
108,688502-michelle,2.0
109,42316620-azet,5.0
110,4639825-woolfardis,1.0
111,9854601-olivier-delaye,5.0
112,6132231-owlseyes,4.0
113,10376232-the-burning-dreamer,2.0
114,416888-heidi,2.0
115,13086055-jay-schutt,4.0
116,112768832-pouri,1.0
117,17568354-eliza,4.0
118,16040932-debra,5.0
119,1053760-shelby-trains-flying-monkeys,3.0
120,614778-ahmad-sharabiani,5.0
121,29005117-federico-dn,4.0
122,19283284-vit-babenco,5.0
123,748860-rosana,5.0
124,117399210-lu-s,5.0
125,821876-andre,4.0
126,32717688-ecmel-soylu,4.0
127,22202424-mahshid,5.0
128,13198822-settare-on-hiatus,3.0
129,3956164-sakinah-al-taleb,5.0
130,4725455-sevim-dogan-ozkan,5.0
131,452798-oracha,5.0
132,28303336-samaa,4.0
133,51649609-kerri,5.0
134,76109884-amo0n2000,5.0
135,5157049-m,1.0
136,16912898-hissa,3.0
137,19825345-jupiter-wright,5.0
138,49876976-rosemarie,4.0
139,91717608-margot-meanders,5.0
140,70534331-onur,5.0
141,75151480-anoud,1.0
142,60806694-sophia-nguyen,5.0
143,54271040-nora,3.0
144,86868064-tram-vu,5.0
145,85685564-sooyoun,5.0
146,130316741-in-s,5.0
147,5588896-virgilio,5.0
148,3535087-sunsethours,4.0
149,74666413-m-sra-ergin,5.0
150,36499574-natalia,5.0
151,61752494-aisha,4.0
152,93563862-rami-hamze,3.0
153,78652636-molly,5.0
154,15649908-dalia-ismail,3.0
155,130230692-kate,5.0
156,38150016-nourhan-elkafrawy,5.0
157,35709230-alyaa-alasfoor,5.0
158,115879099-g-lay-g-ler,5.0
159,26510987-mutiara,5.0
160,74960440-krutika-puranik,4.0
161,28630245-writingcaia,5.0
162,23790728-amani,5.0
163,33482099-samar-al-otaibi,5.0
164,123429539-dajana,4.0
165,68831937-l-l,4.0
166,15289135-anood-h,4.0
167,133131987-naely-barros,5.0
168,23226009-charlotte-ertryckx,4.0
169,32711859-alexandra-pedro,5.0
170,86172939-esra-nur-y-ld-z,0.0
171,104886785-connor-stompanato,2.0
172,32370561-h,4.0
173,24402577-catarina-miranda,5.0
174,1654645-deb-readerbuzz-nance,4.0
175,39979581-joao,4.0
176,440401-gluhpy-memee,5.0
177,4346533-lothiriel,4.0
178,120911728-samar-ja,5.0
179,1405967-lavinia,2.0
180,5299266-lenore,4.0
181,21333139-eli,4.0
182,84630935-e-rendilen,5.0
183,82386203-mohammed,5.0
184,127790002-matyluvswords,3.0
185,15609834-roaa,5.0
186,121683648-cigdem,5.0
187,12763282-jackie-law,4.0
188,43695622-kate-kane,5.0
189,84839425-pattyoct,5.0
190,62731997-mai,5.0
191,14626124-noor-ali,3.0
192,54810270-remon-talaat,5.0
193,68956256-ph-m,5.0
194,24675854-camila,5.0
195,107946795-linh-vu,5.0
196,60606652-mizuna,4.0
197,115980159-leocgb,5.0
198,56282379-germ-n-dorado,5.0
199,66904127-lama,5.0
200,76802091,5.0
201,63261296-viet-nguyen,4.0
202,118944387-eduardo-arrieta,5.0
203,17933555-manar-ghazal,5.0
204,80427856-nahar,5.0
205,97931804-lydia,3.0
206,98221535-heba,5.0
207,44124228-rowaa-abdo,5.0
208,150552892-asya,0.0
209,4688703-chavi,0.0
210,59184792-joana-alves,5.0
211,4906067-kawthar-saleem,5.0
212,5138728-fatma-mustafa,5.0
213,69988258-melek,5.0
214,56227052-ana,5.0
215,99203340-nourie,4.0
216,58231393-karina-nu-z,4.0
217,86109583-rachel-shin,5.0
218,3942101-tehanu,3.0
219,11757141-mansur,5.0
220,75268997-miha,5.0
221,150240897-soph,3.0
222,144429585-sujey,4.0
223,132513731-skull995,1.0
224,60411858-seren,4.0
225,13072463-gail,4.0
226,138697376-serene,5.0
227,68833017-bernardo-lima-carvalho,4.0
228,122443593-guido,5.0
229,51335944-sungmin-song,4.0
230,101321876-razan,5.0
231,3005712-monica-jalil,0.0
232,135693656-perasta,4.0
233,11960501-robert,5.0
234,434308-cemre,5.0
235,319424-andreea-craciun,5.0
236,3773919-ashley,5.0
237,10380870-monica-cabrera-johnson,5.0
238,103142475-sanaz,5.0
239,4380578-dhanita,5.0
240,12654856-lucie,5.0
241,4531449-kawaiisusu,5.0
242,62469952-chaeeunkim,0.0
243,2004-negin,5.0
244,1657831-yamile-m-ndez,5.0
245,784815-tiago,5.0
246,3466196-mehdi,4.0
247,16194785-hepsen,5.0
248,4867252-vavita,5.0
249,18205387-meriem,5.0
250,6842580-nazanin,5.0
251,20229826-b-ra,5.0
252,2388-armen,4.0
253,35261749-keefy72,5.0
254,16066358-shanta,5.0
255,83157065-javier,1.0
256,87067578-buthaina,5.0
257,91383565-carmen,5.0
258,53694040-uxie,5.0
259,38522674-isabel-rebelo,5.0
260,111717627-eva,5.0
261,46654333-mochi,5.0
262,76407606-starglazed,0.0
263,112796014-guilherme,5.0
264,116373324-zde,5.0
265,146206553-lara,5.0
266,8367962-lorelei,3.0
267,80081622-hessa,2.0
268,96973114-alisha,5.0
269,90935900-ruby,5.0
270,6805201-nutt,5.0
271,102363210-reagan-conklin,4.0
272,23561298-asuka-nguyen,4.0
273,81359682-mss-sunrise,4.0
274,77763236-khang080802,4.0
275,2235722-eric-hinkle,5.0
276,140633697-han-dang,3.0
277,70853417-sara,5.0
278,129301732-anh,4.0
279,33893117-aakanksha,5.0
280,1161609-leigh,4.0
281,22286953-soumya-gudiyella,4.0
282,16649782-valkyrie-vu,4.0
283,7865569-ramona-arsene,4.0
284,81043517-giang,5.0
285,36415459-hagiang-sophie,4.0
286,6011726-michelle-kidwell,5.0
287,74588592-av-tuzer,4.0
288,130150552-mirela,5.0
289,75812429,5.0
290,43325059-gioia,5.0
291,126447317-ingrid-cervantes-torvisco,5.0
292,71909905-dorothy,5.0
293,64987691-amber-scaife,4.0
294,134446847-sabita,5.0
295,40788707-teki,4.0
296,155144397-murad-sultanov,5.0
297,131685056-anna-andretta,5.0
298,18611183-hien-phan,5.0
299,47321233-junhyuk-kim,5.0
300,47711952-yeseo,5.0
301,51098813-sezen-amkiran,5.0
302,130918236-phan-han,3.0
303,125975922-annie,5.0
304,63931026-g-khan,5.0
305,154528181-regina-bertha,3.0
306,134479252-dep-oc,4.0
307,157981862-joy,5.0
308,92934461-joy,5.0
309,117559932-alicia-s-nchez,0.0
310,70457912-dee-aladwani,4.0
311,92874994-amanda-huck,4.0
312,15309794-lizbeth-leon-poma,5.0
313,114058984-kim-xu-n,0.0
314,144519020-bochra-meskini,4.0
315,69805638-linh-l,3.0
316,150389781-gabs,2.0
317,29181873-alex,4.0
318,73648088-al-b-ta,5.0
319,92324886-valentina,5.0
320,114544643-chloe,5.0
321,34465030-rawan-wael,5.0
322,89602484-coca,4.0
323,131350306-ngtrgg,5.0
324,108653836-em-h,5.0
325,131506887-kh-nh-hi-n,5.0
326,4110215-john-ryan,3.0
327,31499929-reem-zaki-alsayed,2.0
328,147955296-nguy-t-minh,5.0
