,Ten ,Gia ,Thong tin,Anh,The loai
0,Nhà Giả Kim (Tái Bản 2020),"63.200 đ
				","
Tất cả những trải nghiệm trong chuyến phiêu du theo đuổi vận mệnh của mình đã giúp Santiago thấu hiểu được ý nghĩa sâu xa nhất của hạnh phúc, hòa hợp với vũ trụ và con người. 
Tiểu thuyết Nhà giả kim của Paulo Coelho như một câu chuyện cổ tích giản dị, nhân ái, giàu chất thơ, thấm đẫm những minh triết huyền bí của phương Đông. Trong lần xuất bản đầu tiên tại Brazil vào năm 1988, sách chỉ bán được 900 bản. Nhưng, với số phận đặc biệt của cuốn sách dành cho toàn nhân loại, vượt ra ngoài biên giới quốc gia, Nhà giả kim đã làm rung động hàng triệu tâm hồn, trở thành một trong những cuốn sách bán chạy nhất mọi thời đại, và có thể làm thay đổi cuộc đời người đọc.
“Nhưng nhà luyện kim đan không quan tâm mấy đến những điều ấy. Ông đã từng thấy nhiều người đến rồi đi, trong khi ốc đảo và sa mạc vẫn là ốc đảo và sa mạc. Ông đã thấy vua chúa và kẻ ăn xin đi qua biển cát này, cái biển cát thường xuyên thay hình đổi dạng vì gió thổi nhưng vẫn mãi mãi là biển cát mà ông đã biết từ thuở nhỏ. Tuy vậy, tự đáy lòng mình, ông không thể không cảm thấy vui trước hạnh phúc của mỗi người lữ khách, sau bao ngày chỉ có cát vàng với trời xanh nay được thấy chà là xanh tươi hiện ra trước mắt. ‘Có thể Thượng đế tạo ra sa mạc chỉ để cho con người biết quý trọng cây chà là,’ ông nghĩ.”
- Trích Nhà giả kim
Nhận định
“Sau Garcia Márquez, đây là nhà văn Mỹ Latinh được đọc nhiều nhất thế giới.” - The Economist, London, Anh
 
“Santiago có khả năng cảm nhận bằng trái tim như Hoàng tử bé của Saint-Exupéry.” - Frankfurter Allgemeine Zeitung, Đức 
",https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_36793.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
1,Tiệm Sách Của Nàng - Tặng Kèm Bookmark Photostrip + Sổ Tay Màu Ngẫu Nhiên,"100.000 đ
				","
Tiệm Sách Của Nàng
Bối cảnh là một tiệm sách tại thành phố hiện đại. Nhân vật “anh” xuất hiện trong câu chuyện tình cảm lãng mạn, ở đó có nắng ấm êm, có mưa thành dòng để thả thuyền giấy, những câu thoại vu vơ chỉ hai người mới hiểu, với “một chút hân hoan, một chút dỗi hờn…”
Nhưng tràn ngập gần 300 trang sách là ký ức về tuổi trưởng thành ngày ấy ở vùng quê miền Trung. Quá khứ và hiện tại mang màu sắc vui buồn trái ngược, khiến cuốn sách có một hấp dẫn khác biệt.
Sự vô tình của con người nhiều khi mang tính ác, nhất là khi dưới vỏ những câu chọc ghẹo trêu đùa dai dẳng. Có những chuyện khốc liệt, vô trách nhiệm, ích kỷ của chính người lớn đã bắt trẻ con phải gánh chịu. Có những đứa trẻ đã trở nên ưa gây gổ, ương bướng, bất cần khi cuộc đời chúng sa vào bi thương, bất hạnh.
…Câu chuyện chất chứa nhiều cảm xúc, đặc biệt bất ngờ qua những nỗi niềm chưa thể gửi trao của cậu thiếu niên từng nổi tiếng ngang ngược và hung hãn dành cho người bạn gái cậu yêu. Tuổi thơ bị đánh cắp, bị “tra tấn tinh thần”, cuộc sống trở nên bấp bênh, nhưng may thay, sự tử tế và tình yêu thương kỳ diệu đã hóa giải lòng hận khô cứng, cuốn trôi đi sự ngạo ngược, chỉ còn lại sự mạnh mẽ với tâm hồn trong sạch, lòng tin vào nhân ái và sự bao dung dịu dàng. 
",https://cdn0.fahasa.com/media/catalog/product/t/i/tiem-sach-cua-nang---bia-mem.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
2,Cây Cam Ngọt Của Tôi,"86.400 đ
				","
“Vị chua chát của cái nghèo hòa trộn với vị ngọt ngào khi khám phá ra những điều khiến cuộc đời này đáng sống... một tác phẩm kinh điển của Brazil.” - Booklist
“Một cách nhìn cuộc sống gần như hoàn chỉnh từ con mắt trẻ thơ… có sức mạnh sưởi ấm và làm tan nát cõi lòng, dù người đọc ở lứa tuổi nào.” - The National
Hãy làm quen với Zezé, cậu bé tinh nghịch siêu hạng đồng thời cũng đáng yêu bậc nhất, với ước mơ lớn lên trở thành nhà thơ cổ thắt nơ bướm. Chẳng phải ai cũng công nhận khoản “đáng yêu” kia đâu nhé. Bởi vì, ở cái xóm ngoại ô nghèo ấy, nỗi khắc khổ bủa vây đã che mờ mắt người ta trước trái tim thiện lương cùng trí tưởng tượng tuyệt vời của cậu bé con năm tuổi.
Có hề gì đâu bao nhiêu là hắt hủi, đánh mắng, vì Zezé đã có một người bạn đặc biệt để trút nỗi lòng: cây cam ngọt nơi vườn sau. Và cả một người bạn nữa, bằng xương bằng thịt, một ngày kia xuất hiện, cho cậu bé nhạy cảm khôn sớm biết thế nào là trìu mến, thế nào là nỗi đau, và mãi mãi thay đổi cuộc đời cậu.
Mở đầu bằng những thanh âm trong sáng và kết thúc lắng lại trong những nốt trầm hoài niệm, Cây cam ngọt của tôi khiến ta nhận ra vẻ đẹp thực sự của cuộc sống đến từ những điều giản dị như bông hoa trắng của cái cây sau nhà, và rằng cuộc đời thật khốn khổ nếu thiếu đi lòng yêu thương và niềm trắc ẩn. Cuốn sách kinh điển này bởi thế không ngừng khiến trái tim người đọc khắp thế giới thổn thức, kể từ khi ra mắt lần đầu năm 1968 tại Brazil.
TÁC GIẢ:
JOSÉ MAURO DE VASCONCELOS (1920-1984) là nhà văn người Brazil. Sinh ra trong một gia đình nghèo ở ngoại ô Rio de Janeiro, lớn lên ông phải làm đủ nghề để kiếm sống. Nhưng với tài kể chuyện thiên bẩm, trí nhớ phi thường, trí tưởng tượng tuyệt vời cùng vốn sống phong phú, José cảm thấy trong mình thôi thúc phải trở thành nhà văn nên đã bắt đầu sáng tác năm 22 tuổi. Tác phẩm nổi tiếng nhất của ông là tiểu thuyết mang màu sắc tự truyện Cây cam ngọt của tôi. Cuốn sách được đưa vào chương trình tiểu học của Brazil, được bán bản quyền cho hai mươi quốc gia và chuyển thể thành phim điện ảnh. Ngoài ra, José còn rất thành công trong vai trò diễn viên điện ảnh và biên kịch. 
",https://cdn0.fahasa.com/media/catalog/product/i/m/image_217480.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
3,Trường Ca Achilles,"124.800 đ
				","
HUYỀN THOẠI BẮT ĐẦU…
Hy Lạp vào thời hoàng kim của các anh hùng. Patroclus là một hoàng tử trẻ vụng về, bị trục xuất tới vương quốc Phthia và được nuôi dạy dưới sự che chở của vua Peleus cùng cậu con trai hoàng kim của ngài, Achilles. “Người Hy Lạp vĩ đại nhất” – mạnh mẽ, đẹp đẽ, và mang nửa dòng máu của một nữ thần – Achilles là tất cả những gì mà Patroclus không bao giờ có được. Nhưng bất chấp sự khác biệt giữa họ, hai cậu bé trở thành chiến hữu trung thành của nhau. Tình cảm giữa họ càng đậm sâu khi cả hai lớn lên thành những chàng trai trẻ, thành thạo trong kĩ nghệ chiến đấu và y dược.
Khi tin tức truyền tới rằng nàng Helen xứ Sparta đã bị bắt cóc, những chiến binh Hy Lạp, bị trói buộc bởi lời thề máu, phải nhân danh nàng mà vây hãm thành Troy. Bị cám dỗ bởi lời hứa hẹn về một số mệnh huy hoàng, Achilles tham gia hàng ngũ của họ. Bị giằng xé giữa tình yêu và nỗi lo sợ dành cho người bạn của mình, Patroclus ra trận theo Achilles. Họ không hay biết rằng các nữ thần Số Phận sẽ thử thách cả hai người họ hơn bao giờ hết và đòi hỏi một sự hi sinh khủng khiếp.
Dựa trên nền tảng của sử thi Iliad, câu chuyện về cuộc chiến thành Troy vĩ đại đã được Madeline Miller kể lại với tiết tấu dồn dập, lôi cuốn, và không kém phần xúc động, đánh dấu sự khởi đầu của một sự nghiệp rực rỡ.
Trường Ca Achilles đã đoạt giải Orange năm 2012 và luôn nằm trong top các sách bán chạy của tờ New York Times.
---
Một ấn phẩm của WINGS BOOKS - Thương hiệu sách trẻ của NXB Kim Đồng. 
",https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_41170.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
4,Người Đàn Ông Mang Tên OVE (Tái Bản),"136.000 đ
				","
Người đàn ông mang tên Ove năm nay năm mươi chín tuổi. Ông là kiểu người hay chỉ thẳng mặt những kẻ mà ông không ưa như thể họ là bọn ăn trộm và ngón trỏ của ông là cây đèn pin của cảnh sát. Ove tin tất cả những người ở nơi ông sống đều kém cỏi, ngu dốt và không đáng làm hàng xóm của ông. Ove nguyên tắc, cứng nhắc, cấm cảu và cay nghiệt.
Người đàn ông mang tên Ove lên kế hoạch tự tử. Nhưng những nỗ lực của ông liên tiếp bị phá đám. Bắt đầu từ việc một buổi sáng, một cặp đôi trẻ trung hay chuyện với hai đứa con cũng hay chuyện không kém chuyển đến gần nhà Ove và vô tình lùi xe đâm sầm vào tường nhà ông. Rồi đến con mèo hoang nhếch nhác, tình bạn không ngờ… cuộc sống của ông già mang tên Ove thay đổi hoàn toàn.
Mang chất trào lộng duyên dáng kiểu Bắc Âu nhưng cũng tràn đầy tính nhân văn, cuốn sách trở thành một hiện tượng toàn cầu với gần 3 triệu bản in được bán ra, và được dịch sang 40 ngôn ngữ. Bộ phim cùng tên chuyển thể từ cuốn tiểu thuyết đã được đề cử ở hạng mục phim nói tiếng nước ngoài hay nhất tại Oscar 2017. 
",https://cdn0.fahasa.com/media/catalog/product/8/9/8934974182375.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
5,Lén Nhặt Chuyện Đời,"44.200 đ
				","
Lén Nhặt Chuyện Đời
Tại vùng ngoại ô xứ Đan Mạch xưa, người thợ kim hoàn Per Enevoldsen đã cho ra mắt một món đồ trang sức lấy ý tưởng từ Pandora - người phụ nữ đầu tiên của nhân loại mang vẻ đẹp như một ngọc nữ phù dung, kiêu sa và bí ẩn trong Thần thoại Hy Lạp. Vòng Pandora được kết hợp từ một sợi dây bằng vàng, bạc hoặc bằng da cùng với những viên charm được chế tác đa dạng, tỉ mỉ. Ý tưởng của ông, mỗi viên charm như một câu chuyện, một kỷ niệm đáng nhớ của người sở hữu chiếc vòng. Khi một viên charm được thêm vào sợi Pandora là cuộc đời lại có thêm một ký ức cần lưu lại để nhớ, để thương, để trân trọng. Lén nhặt chuyện đời ra mắt trong khoảng thời gian chông chênh nhất của bản thân, hay nói cách khác là một cậu bé mới lớn, vừa bước ra khỏi cái vỏ bọc vốn an toàn của mình. Những câu chuyện trong Lén nhặt chuyện đời là những câu chuyện tôi được nghe kể lại, hoặc vô tình bắt gặp, hoặc nhặt nhạnh ở đâu đó trong miền ký ức rời rạc của quá khứ, không theo một trình tự hay một thời gian nào nhất định.
Mỗi một câu chuyện là một viên charm lấp lánh, kiêu kỳ, có sức hút mạnh mẽ đối với một người trẻ như tôi luôn tò mò với những điều dung dị trong cuộc sống. Tôi âm thầm nhặt những viên charm ấy về, kết thành sợi Pandora cho chính mình. Lén ở đây không phải là một cái gì đó vụng trộm, âm thầm sợ người khác phát hiện. Mà nó là lặng lẽ. Tôi lặng lẽ nghe, lặng lẽ quan sát, lặng lẽ đi tìm và lặng lẽ viết nên quyển sách này. Tôi vẫn thích dùng từ Lén hơn, vì đơn giản, tôi thấy bản thân mình trong đó. Lén nhặt chuyện đời được chia thành năm chương: chương thứ nhất nói về tình yêu của cả giới trẻ và người tu sĩ; chương thứ hai viết về gia đình; chương thứ ba dành cho những người trẻ; chương thứ tư là những câu chuyện bên đời, những bài tâm sự của người tu sĩ; chương năm là thơ và chương cuối cùng là tâm sự của bản thân khi tôi đã về già. Nếu ai nghĩ Lén nhặt chuyện đời sẽ giảng thuyết về chân lý, định hướng cho người trẻ hay chữa lành những vết thương… thì đã tìm sai chỗ, bản thân chưa bao giờ nghĩ quyển sách này sẽ làm được điều đó.
Đây chỉ là những câu chuyện, những suy nghĩ về cuộc đời của một người trẻ đang chông chênh. Đôi khi, tôi hóa thành một ông già của năm chục năm sau kể về những ký ức thời vụng dại. Chỉ mong sao, đọc Lén nhặt chuyện đời, người ta có thể tìm được đâu đó những viên charm phù hợp với bản thân mình. Quyển sách này sẽ là dấu ấn lớn nhất đối với cuộc đời của bản thân. Mỗi bài viết là một viên charm của Pandora Lén nhặt chuyện đời và Lén nhặt chuyện đời cũng sẽ là một viên charm lấp lánh trong sợi Pandora của cuộc đời tôi. Quyển sách này, xin được nhớ về những người Thầy của tôi, về Từ Quang, về gia đình, và tất cả những ai đã hiện diện trong thời thanh xuân của tôi. Để nhắc rằng, tôi đã từng có mặt trong cuộc đời của họ, và họ có mặt trong quyển sách này của tôi.
Cảm ơn đã tìm đến sợi Pandora Lén nhặt chuyện đời, và nào, hãy cùng tôi bắt đầu đi tìm những viên charm, nhặt lên và xâu vào sợi Pandora của mình thôi! 
",https://cdn0.fahasa.com/media/catalog/product/9/7/9786043651591_1.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
6,Người Đua Diều,"103.200 đ
				","
Người Đua Diều
Sơ lược về tác phẩm
Cuốn sách hay nhất trong năm
-Bình chọn của San Francisco Chronicle-
Một trong mười tiểu thuyết hay nhất của năm
-Bình chọn của Entertainment Weekly-
Cuốn sách nổi bật
-Bình chọn của American Library Association-
Cuốn sách hay nhất năm 2006
-Bình chọn của Penguin/Orange Reader Group-
Nhận định
“Câu chuyện về hai cậu bé từng là bạn của nhau ở Afghanistan, cũng chính là một tác phẩm phi thường về văn hóa.”
-San Francisco Chronicle-
“Một tiểu thuyết đẹp đẽ… nằm trong số những tác phẩm được viết ra tinh tế và khơi gợi nhất cho tới giờ phút này… Một câu chuyện làm cảm động trái tim về một tình bạn khác thường… Đó cũng là một tác phẩm thuyết phục kỳ lạ, về mối quan hệ mong manh giữa cha và con, giữa con người và thần thánh, giữa cá nhân và đất nước. Huyết thống cùng sự thủy chung đã là sợi dây nối buộc câu chuyện của họ vào một trong số những cuốn sách trữ tình, cảm động và bất ngờ nhất của năm.”
-The Denver Post-
“Một bức họa rực rỡ về Afghanistan ba mươi năm trước.”
-The Wall Street Journal-
“Đây là một trong những câu chuyện sẽ ở lại trong tâm trí bạn trong nhiều năm nữa. Những chủ đề văn học và nhân sinh đã tạo nên một cấu trúc tiểu thuyết tuyệt vời: tình yêu, danh dự, tội lỗi, sợ hãi và cứu chuộc.”
-Isabel Allende-
“Hosseini đã dùng tới cả sự dịu dàng lẫn nỗi kinh hoàng; giấc mơ California và cơn ác mộng Kabul có vai trò ngang nhau… Một truyện kể cuốn hút, một ngụ ngôn sâu sắc.” 
-Globe and Mail- 
",https://cdn0.fahasa.com/media/catalog/product/8/9/8935235237773.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
7,Người Bà Tài Giỏi Vùng Saga,"102.400 đ
				","
Hạnh phúc không phải là thứ được định đoạt bằng tiền. Hạnh phúc phải được định đoạt bằng tâm thế của mỗi chúng ta. 
",https://cdn0.fahasa.com/media/catalog/product/i/m/image_231202.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
8,25 Độ Âm,"126.400 đ
				","
25 Độ Âm
Di cư và nhập cảnh trái phép luôn là vấn đề nhức nhối của nhân loại trong hàng thập kỉ tồn tại và phát triển. Mặc dù các quốc gia đã đưa ra rất nhiều lời cảnh tỉnh và siết chặt an ninh cùng nhiều hình thức trừng phạt mạnh tay, nhưng vấn nạn này chưa bao giờ được giải quyết triệt để, thậm chí thủ đoạn của bọn tội phạm vượt biên còn ngày càng tinh vi và ngoan cố hơn. Chúng ta hẳn không thể nào quên được sự kiện kinh hoàng, gây rúng động toàn thế giới cách đây 5 năm: 1h20ph sáng ngày 23/10/2019, cảnh sát Anh quốc đã phát hiện ra thi thể của 39 người Việt tử vong trong một chiếc xe container đông lạnh. Họ đều là những con người tham gia vào chuyến hành trình vượt biên trái phép và bỏ mạng ngay trước giây phút tưởng chừng đã đặt chân được đến miền đất hứa.
Chúng ta biết được kết cục của họ nhưng không biết họ đã thực sự trải qua những gì, phải đối mặt, đương đầu với những khó khăn, nguy hiểm đáng sợ đến nhường nào khi quyết tâm dấn thân vào con đường phi pháp. Và tiểu thuyết 25 độ âm của tác giả Thảo Trang sẽ phần nào trả lời cho bạn đọc những câu hỏi ấy.
Theo chân nhân vật Lam, hành trình sinh tử trên con đường vượt biên của cô gái từ Nga tới Pháp và cuối cùng là Anh sẽ được lần lượt tái hiện vô cùng chân thực và tàn khốc. Đồng hành với Lam là Đức Hà Nội, bà Loan, ông Sang, Phượng và Duy Anh. Trên mỗi cung đường vượt biên, họ sẽ làm quen, gặp gỡ đồng bào mình và cả những con người không cùng màu da, sắc tộc. Mỗi người ra đi với những lí do, hoàn cảnh đưa đẩy khác nhau. Đối với Lam, bước vào con đường này là sự nối dài chuỗi bi kịch của cuộc đời. Lam có ước mơ, hoài bão, khát vọng và ý chí sống mạnh mẽ, nhưng cô lại không có quyền chọn lựa cuộc đời mình, là con rối để người khác giật dây, buộc phải dấn thân vào một hành trình không biết trước kết cục. Tuy nhiên, không ít những con người, họ lựa chọn ra đi vì khát vọng đổi đời, nó lớn lao và dữ dội đến mức, họ sẵn sàng lao đi như con thiêu thân, dù có thể bị ánh lửa thiêu rụi, đánh đổi cả nhân hình và nhân dạng, vẫn khát khao nơi miền đất hứa ấy họ sẽ ngẩng cao đầu hãnh diện với người đời. Nhưng họ nào đâu biết rằng, kể từ khi đặt chân vào hành trình ấy đã là con đường chết chóc, nơi mà tử thần luôn rình rập những kẻ “bán mạng”, kết cục cuối cùng đang đón đợi họ là cánh cửa địa ngục.
Tác giả Thảo Trang từng là sinh viên chuyên ngành Xã hội học, đề tài nghiên cứu khoa học của cô chính là khai thác góc nhìn xã hội trong những người vượt biên. Hơn 4 năm tìm hiểu thông tin, 200 cuộc phỏng vấn, 23 kg tài liệu, sự nỗ lực và dày công nghiên cứu đã trở thành chất liệu viết lên 25 độ âm. Sau Tết ở làng Địa Ngục, người đọc lại lần nữa nhận ra phong cách viết rùng rợn và đậm chất điện ảnh trong 25 độ âm, tác giả đã khéo léo đan cài những nút thắt, nút mở và hàng loạt tình tiết hư cấu khơi gợi sự tò mò. Theo từng cung đường vượt biên, người đọc sẽ giống như thực sự tham gia vào một trò chơi sinh tồn, mà cái chết có thể ập đến bất cứ lúc nào, dồn dập, tàn khốc và đau đớn, dường như không chừa cho ai một lối thoát. Thảo Trang chỉ muốn nói nhắn nhủ tới bạn đọc rằng, với những ai còn thắc mắc và hoài nghi, thì con đường vượt biên ấy chính là như thế, nếu tương lai do chính bạn lựa chọn, hãy thử nghĩ xem có đáng đánh đổi để bước lên con đường ấy hay không?
Về tác giả: 
Thảo Trang
Tốt nghiệp Học viện Quản lý giáo dục, hiện là nhà văn, nhà biên kịch.
Tác phẩm đã xuất bản: Tết ở làng Địa Ngục, Ngủ cùng người chết.
Thảo Trang hiện là một trong những cây bút 9x nổi bật và có sức ảnh hưởng. Các tác phẩm của cô được đông đảo công chúng đón nhận và giới làm phim săn đón, đồng thời nhận được những phản hồi tích cực của khán giả quốc tế.
Tiểu thuyết Tết ở làng Địa Ngục đã tiêu thụ hàng chục nghìn bản và được chuyển thể thành phim, nhận được Giải thưởng Ngôi sao 2023 – Hiện tượng phim ảnh của năm 2023; Giải thưởng Wechoice Awards – Phim truyền hình của năm 2023 và liên tục đứng Top 1 trên hai nền tảng phim trực tuyến lớn nhất là Netflix và K+.
Phim điện ảnh Kẻ ăn hồn chuyển thể từ tác phẩm cùng tên sắp ra mắt của Thảo Trang được đề cử giải thưởng Wechoice Awards – Phim điện ảnh của năm 2023.
 
Một số trích đoạn hay:
“Mỗi một cột mốc lại có những người dẫn đường khác nhau. Mắt xích ở khu vực này khi đã bàn giao người cho chân rết ở nơi khác là hết nhiệm vụ, đừng mong bọn họ sẽ quay lại giải quyết hay giúp đỡ bất cứ điều gì. Nhiều người gọi chúng là những kẻ “lái người”. Kể cả những người vượt biên có chết trước mặt thì những kẻ đó cũng phải rời đi ngay lập tức để tránh liên lụy. Nói một cách đơn giản hơn, người trong đường dây chỉ đưa chúng tôi đến các địa điểm trên cung đường như đã định. Còn việc chúng tôi có đến được hay không thì phải tùy thuộc vào ý trời.” 
“Cách trước mặt chúng tôi gần chục mét là mấy chiếc lều cắm trại màu xanh, đỏ. Tôi nuốt nước bọt để lấy tinh thần rồi bước tiếp. Khi vừa nhìn thấy những mảnh xác đầu tiên, tôi ngồi thụp xuống đất, chân tay bắt đầu run lẩy bẩy. 
Phải gọi đây là một vụ thảm sát mới đúng. Trên mặt đất toàn là máu, xác người vương vãi khắp nơi. Những nạn nhân đều bị giết trong tình trạng khỏa thân. Người nào người nấy đều bị chém bằng một nhát dao chí mạng.”
“Ngày... tháng.... năm... 
Người ta vẫn nói, chuyến hành trình vượt biên mà tôi đang đi, đều phải dựa vào may mắn. Cách đây vài tháng, tôi cũng đã từng nghĩ như vậy. Phải tới giờ phút này, tôi mới hiểu rằng, cả quãng đường vốn là một ván bài phải đặt cược bằng tính mạng. Người chơi cùng với chúng tôi là tử thần. 
Ivan lẳng lặng cầm chiếc la bàn bước về phía trước. Hành trình của chúng tôi lại tiếp tục. Tôi ngoái lại nhìn một người đồng bào của chúng tôi nằm lại nơi đất khách quê người, mãi cho tới khi khuất hẳn. Không ai trong chúng tôi có thể tưởng tượng được rằng, con số thương vong trong đoàn vẫn chưa dừng lại ở đó.”
“Những người đi vượt biên đều gọi con sông nằm giữa biên giới Ba Lan và Ukraine là cổng Địa Ngục. Sở dĩ có tên gọi như thế là bởi số lượng người bỏ mạng khi vượt qua sông này quá nhiều. Thậm chí, cả những người biết bơi cũng không thể toàn mạng. Chiều ngang của sông khoảng 60 mét, chiều dài thì đám lái người không ước lượng được. Cảnh vật hai bên bờ hoang vu, liên tục có tiếng chó nghiệp vụ sục sạo. Đây là cột mốc bắt buộc phải vượt qua nếu như muốn vào biên giới Ba Lan”. 
“Tôi vừa mong ngóng được nhìn thấy địa danh mà những người trong đường dây vẫn gọi là cổng Địa Ngục, vừa hồi hộp không dám đối diện với thử thách này. Ivan cảnh báo chúng tôi, đã từng có đoàn vì bị mắc kẹt trong khu rừng biên giới giữa Nga và Ukraina, mà khi đến sông thì trời đã lạnh. Nước sông lúc này bắt đầu đông lại thành những mảng nước đá trôi bập bềnh trên bề mặt. Đoàn người đó vẫn bắt buộc phải sang sông, nhưng rồi phân nửa trong số họ chết sạch. Nguyên nhân không phải là vì nước quá lạnh, mà bởi những mảng băng nhọn hoắt đâm xuyên vào người. Máu đỏ ối loang khắp một vùng nước mênh mang.” 
“Có hai con đường dành cho những người như chúng tôi. 
Một là chết. 
Hai cũng là chết, nhưng muộn hơn. 
Khi tôi thấm thía được điều này thì mọi thứ đã quá muộn. Nhiệt độ lúc này đã xuống dưới ngưỡng âm độ. Chúng tôi vượt biên không thành. Ngộ nhỡ chúng tôi không qua khỏi, xin hãy hỏa táng để tôi được về với đất mẹ Việt Nam. Tôi là người Việt Nam, tôi muốn được chôn dưới mảnh đất thiêng liêng của Tổ quốc mình! 
",https://cdn0.fahasa.com/media/catalog/product/b/_/b_a-1-25-_-_m_1.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
9,Sưởi Ấm Mặt Trời - Phần Tiếp Theo Của Cây Cam Ngọt Của Tôi,"128.000 đ
				","
Sưởi Ấm Mặt Trời
Zezé, cậu bé tinh nghịch siêu hạng đồng thời cũng đáng yêu bậc nhất ngày ngào giờ đã thoát khỏi cuộc sống nghèo khó, cũng không còn phải chịu cảnh bị đánh đập thường xuyên như trong quá khứ. Cậu đã chuyển đến Natal sống cùng gia đình cha đỡ đầu, được học ở một ngôi trường tốt, dần dần tiến bộ cả về mặt trí tuệ lẫn thể chất. Nhưng nỗi đau mất mát vẫn đè nặng lên trái tim cậu và Zezé vẫn là một cậu nhóc “ hầu như lúc nào cũng buồn”, thậm chí “có lẽ là một trong những cậu nhóc buồn nhất quả đất”.
Nhưng, may thay, Zezé đã tìm được những người bạn mới – cả ở đời thực lẫn trong tưởng tượng – luôn thấu hiểu và sát cánh bên cậu, cùng cậu đi qua hết thày những niềm vui cùng nỗi buồn, những khổ sở, thất vọng, những phiêu lưu mạo hiểm, giúp cậu đối thoại với cuộc sống muôn màu muôn vẻ, với nội tâm đầy mâu thuẫn và đồng thời với cả nỗi buồn thương sâu thẳm trong tâm hồn.
Sâu lắng, day dứt và có những khi buồn đến thắt lòng, nhưng đồng thời, Sưởi ấm mặt trời cũng tràn ngập hơi thở trẻ trung, trong sáng, tràn đầy sức sống và tình yêu thương. 
",https://cdn0.fahasa.com/media/catalog/product/s/u/suoi-am-mat-troi-01-_1_.jpg,"['Sách tiếng Việt', 'Văn học', 'Tiểu thuyết']"
